Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/27/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CountryName,CountryCode,IndicatorName,IndicatorCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121229050,1195530726,1264245810,1326256983,1377094972,1393854749,1353631285,1260335196,1275418994,1450279330,1597765363,1596648045,1730167598,1858659218,1593854749,1459217877,1729050279,1653631285,1770391061,1850837989,1873743017,1848603352,1912290503,,
Afghanistan,AFG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,22222233.33,24444455.56,26666680,68888922.22,71111144.44,113333340,120000000,113333340,122222228.9,142222222.2,171111104.4,199999988.9,235555544.4,224444437.8,302222222.2,300000006.7,337777777.8,344444451.1,357777771.1,,,,,,,,,,,,,,,,,,,,,,,,1329280562,2003507989,1616201849,1766397752,1764977019,1863571513,2724291878,2823712992,2945227258,3900019116,3793614716,4028235713,3233000001,2326740000,1148855434,1192286469,,
Angola,AGO,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8187952997,6736804052,8725781182,9676099740,13749769575,24225663184,33245105956,44319695565,64168383680,41310593206,51572818661,67822745138,71632934596,69376269462,65126113465,34572954934,28440561887,35420915617,,
Albania,ALB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,335069933,319090900.3,327312512.5,333550012.5,348287487.5,418924987.5,312500000,82300000,81519209.68,189399541.5,225407481,302465325.4,371808985.5,230303544.6,291949986.8,540977914.6,700083398.1,836717875.5,910729685,1169850311,1596261929,1853022971,2242665086,3016116154,3259293924,3040048285,3337095378,3769487586,3565036151,3694429571,3732085757,3104919070,3437170828,4110273661,4785177777,
Andorra,AND,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63496E+11,1.86191E+11,2.13692E+11,2.20169E+11,1.71934E+11,2.06823E+11,2.88855E+11,2.66441E+11,2.77188E+11,3.47204E+11,4.62062E+11,6.24669E+11,7.62767E+11,8.89356E+11,1.18784E+12,8.32885E+11,1.04238E+12,1.36599E+12,1.54681E+12,1.53118E+12,1.45405E+12,1.07255E+12,9.88706E+11,1.13338E+12,1.31686E+12,
United Arab Emirates,ARE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50787202178,54362695711,69538461538,93968596324,1.22071E+11,1.52434E+11,1.8669E+11,2.48808E+11,2.01959E+11,2.38328E+11,3.15868E+11,3.75514E+11,3.92245E+11,4.01367E+11,3.61253E+11,3.60626E+11,3.84044E+11,3.88754E+11,
Argentina,ARG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,1147183934,1441753550,1424603255,1764705803,1904761830,1818181858,1714285705,2000000041,1769210603,2000000003,2500000047,4000000136,4999999840,3054054017,4695000304,5459999881,4999999950,4508960597,3895791555,5445263190,7663966256,9515669467,6003000152,10376666929,9054444307,8747619117,12029545361,10007559520,14643450361,14561091033,15095901878,16357317317,19385100000,24978532000,28381400000,30928400000,31137200000,27862300000,31223690400,31112418400,27736610298,33084505278,39266996606,46198180131,53550250227,65162321195,79762958392,65133480388,80208867996,97810932629,88655850854,80690471898,75818867911,63671789069,69842486096,72256505014,74240343947,
Armenia,ARM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789960888.4,842829165.1,506749951.3,567247790.5,517226119.4,351337813,371135631.4,332378715.8,359865213.1,383089748.7,446832960,539539869.6,697610534.6,902545052.4,1063499859,1411788277,1491343148,1766287388,1754799663,1338222814,1928927462,2409446528,2927398423,3153950546,3316273474,3137295852,3495833404,4303143005,4700517402,
American Samoa,ASM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518000000,513000000,460000000,498000000,495000000,505000000,641000000,530000000,364000000,335000000,482000000,457000000,426000000,427000000,427000000,362000000,438000000,
